"Name","Team","SwStr%","Pitches","playerid"
"Steven Wright","Red Sox","10.8 %","2496","8185"
"Chris Sale","White Sox","11.3 %","3431","10603"
"John Lackey","Cubs","11.5 %","2853","1507"
"Will Smith","- - -","11.5 %","650","8048"
"Jameson Taillon","Pirates","8.3 %","1550","11674"
"Ervin Santana","Twins","10.0 %","2931","3200"
"Daniel Norris","Tigers","10.5 %","1190","13475"
"Tyler Lyons","Cardinals","10.2 %","678","11334"
"Rob Scahill","- - -","10.8 %","528","9286"
"Adam Liberatore","Dodgers","9.6 %","716","10637"
"Julio Urias","Dodgers","10.3 %","1416","14765"
"Craig Kimbrel","Red Sox","15.1 %","935","6655"
"Jake Diekman","Rangers","10.9 %","932","5003"
"Steven Matz","Mets","9.8 %","2153","13361"
"Mike Dunn","Marlins","12.4 %","720","9948"
"Yu Darvish","Rangers","12.6 %","1579","13074"
"Seth Maness","Cardinals","6.7 %","496","12235"
"Peter Moylan","Royals","9.6 %","668","4891"
"Bartolo Colon","Mets","5.5 %","2853","375"
"Joe Ross","Nationals","11.0 %","1708","12972"
"Zach McAllister","Indians","9.7 %","932","2895"
"Fernando Rodney","- - -","12.7 %","1149","494"
"Koji Uehara","Red Sox","15.0 %","769","9227"
"Jose Alvarez","Angels","10.1 %","930","5358"
"Matt Bowman","Cardinals","9.3 %","1060","13528"
"Joe Smith","- - -","8.5 %","815","3281"
"David Robertson","White Sox","12.4 %","1050","8241"
"Hansel Robles","Mets","11.0 %","1376","11801"
"Marco Estrada","Blue Jays","10.9 %","2843","1118"
"Kenta Maeda","Dodgers","11.6 %","2930","18498"
"Jake Barrett","Diamondbacks","12.3 %","954","13322"
"Danny Duffy","Royals","12.9 %","2707","3542"
"Blaine Hardy","Tigers","9.5 %","444","6499"
"Neftali Feliz","Pirates","14.2 %","940","18"
"Jandel Gustave","Astros","11.8 %","238","14665"
"Vidal Nuno","Mariners","8.0 %","938","9674"
"Hector Rondon","Cubs","10.8 %","785","2391"
"Vance Worley","Orioles","4.8 %","1300","6435"
"Hunter Cervenka","- - -","10.0 %","759","10510"
"Blake Snell","Rays","10.9 %","1716","13543"
"Tyler Anderson","Rockies","10.7 %","1793","12880"
"Nick Tropeano","Angels","12.5 %","1213","12385"
"Arquimedes Caminero","- - -","9.5 %","1102","8992"
"Santiago Casilla","Giants","10.8 %","950","2873"
"Tyler Clippard","- - -","12.5 %","1059","5640"
"Jose Ramirez","Braves","12.3 %","571","10171"
"Chris Withrow","Braves","11.2 %","650","7161"
"Stephen Strasburg","Nationals","11.0 %","2385","10131"
"Chris Stratton","Giants","7.1 %","168","13761"
"Phil Coke","- - -","8.4 %","166","5535"
"Kevin Gausman","Orioles","10.8 %","3113","14107"
"Ryan Madson","Athletics","11.9 %","1002","1852"
"Tommy Layne","- - -","8.9 %","697","7501"
"A.J. Schugel","Pirates","8.6 %","817","11432"
"Chaz Roe","- - -","12.8 %","476","9866"
"Jerad Eickhoff","Phillies","9.4 %","3028","12664"
"Fernando Abad","- - -","7.5 %","784","4994"
"Ian Kennedy","Royals","9.9 %","3378","6986"
"Boone Logan","Rockies","16.4 %","748","5525"
"Jake Odorizzi","Rays","9.5 %","3308","6397"
"Brad Peacock","Astros","7.9 %","492","5401"
"Josh Collmenter","- - -","7.3 %","687","7312"
"Xavier Cedeno","Rays","13.0 %","692","36"
"Ryan Pressly","Twins","11.7 %","1220","7005"
"Colby Lewis","Rangers","8.0 %","1750","1259"
"Jeremy Hellickson","Phillies","10.8 %","2925","4371"
"Alex Wood","Dodgers","9.6 %","985","13781"
"Nick Vincent","Mariners","13.3 %","935","7555"
"Miguel Gonzalez","White Sox","8.0 %","2100","7024"
"Chris Rusin","Rockies","9.4 %","1264","9895"
"Carl Edwards Jr.","Cubs","17.8 %","623","13607"
"Liam Hendriks","Athletics","10.8 %","1081","3548"
"Dan Straily","Reds","10.2 %","3061","9460"
"Chris Tillman","Orioles","8.7 %","2936","5279"
"Erasmo Ramirez","Rays","8.8 %","1358","10314"
"Wade LeBlanc","- - -","9.2 %","945","5221"
"Darren O'Day","Orioles","14.2 %","537","3321"
"James Paxton","Mariners","11.7 %","1950","11828"
"Jeff Samardzija","Giants","9.2 %","3190","3254"
"Felix Hernandez","Mariners","9.6 %","2453","4772"
"Edubray Ramos","Phillies","11.0 %","612","16086"
"Jason Hammel","Cubs","10.2 %","2623","4538"
"David Hernandez","Phillies","11.7 %","1276","4259"
"Adam Conley","Marlins","9.8 %","2274","14457"
"Sean Manaea","Athletics","11.8 %","2169","15873"
"Cody Martin","Mariners","7.0 %","400","12182"
"Luke Hochevar","Royals","13.4 %","583","6943"
"Cody Ege","- - -","10.7 %","205","15928"
"Danny Salazar","Indians","11.1 %","2404","5867"
"Tyler Chatwood","Rockies","7.8 %","2546","4338"
"Gerrit Cole","Pirates","8.5 %","1939","13125"
"Ariel Miranda","- - -","8.3 %","908","17526"
"Matt Shoemaker","Angels","13.1 %","2476","4776"
"CC Sabathia","Yankees","9.9 %","2910","404"
"Fernando Salas","- - -","10.9 %","1212","4971"
"Kevin Quackenbush","Padres","7.2 %","1025","12360"
"Tyler Sturdevant","Rays","10.8 %","259","6780"
"Brett Cecil","Blue Jays","12.2 %","566","2660"
"Alexi Ogando","Braves","9.4 %","618","10261"
"Danny Barnes","Blue Jays","11.1 %","234","11388"
"Blaine Boyer","Brewers","6.2 %","1052","2237"
"Ross Stripling","Dodgers","8.1 %","1590","13273"
"Kyle Lobstein","Pirates","7.0 %","412","9178"
"Ryan O'Rourke","Twins","12.0 %","399","10976"
"Taylor Rogers","Twins","7.8 %","1006","13449"
"Zach Davies","Brewers","8.4 %","2588","13183"
"Scott Feldman","- - -","7.1 %","1316","6283"
"John Axford","Athletics","10.6 %","1194","9059"
"Brandon Finnegan","Reds","9.6 %","2884","16208"
"David Price","Red Sox","11.9 %","3595","3184"
"Blake Wood","Reds","10.7 %","1313","1345"
"Oliver Drake","Orioles","13.9 %","296","8823"
"Tim Adleman","Reds","9.7 %","1107","10968"
"Robbie Erlin","Padres","10.3 %","204","10354"
"Dylan Bundy","Orioles","10.5 %","1951","12917"
"Chris Archer","Rays","12.2 %","3409","6345"
"Carlos Rodon","White Sox","10.1 %","2795","16137"
"Paul Clemens","- - -","6.6 %","1196","8037"
"Joakim Soria","Royals","11.9 %","1193","6941"
